CATID,ellip,z_spec,Mstar,M_r,r_e,VSIGMA_RE,VSIGMA_RE_ERR,SIGMA_RE,SIGMA_RE_ERR,TYPE
289168,0.2535000145,0.0195400007,9.1000003815,-17.6200008392,2.8099999428,0.1856151819,0.0409509614,56.0819854736,2.7544016838,0.5
298590,0.1560000032,0.0336700007,10.5500001907,-20.9099998474,5.0199999809,0.1979981214,0.0046049757,136.9418029785,1.0237648487,0.0
300406,0.2163999975,0.0508500002,10.9200000763,-21.8999996185,6.25,0.1209169477,0.0056310459,204.0933227539,1.7442913055,0.5
300411,0.1636999995,0.0510899983,10.8100004196,-21.6499996185,3.2000000477,0.0534501448,0.0063261096,158.7863922119,1.4498624802,0.0
300691,0.2730999887,0.0455799997,10.3500003815,-20.5,2.3399999142,0.1122571975,0.0107072461,119.937210083,1.5843026638,0.0
301519,0.1106000021,0.1072600037,10.9499998093,-22.0799999237,2.7300000191,0.0807750598,0.011362724,218.0870361328,2.7552564144,0.0
301937,0.2975000143,0.0934799984,11.0399999619,-22.4200000763,4.9299998283,0.0882081091,0.0070889555,162.6878356934,1.9354324341,0.5
319070,0.2590999901,0.0388399996,10.6800003052,-21.4099998474,3.0599999428,0.2728847563,0.0063602086,194.4174041748,1.4645168781,0.5
319196,0.2003999949,0.0531300008,10.1700000763,-20.3799991608,2.1099998951,0.3492410779,0.0130045582,95.6409912109,1.2882628441,0.5
319231,0.1544999927,0.0258200001,10.0500001907,-20.2600002289,5.2600002289,0.5872085094,0.008941099,72.5850906372,0.9564964175,0.0
319293,0.1648000032,0.0542600006,10.2899999619,-20.3899993896,3.1700000763,0.2497641444,0.025165163,94.1956710815,2.5333666801,0.5
319395,0.1809999943,0.0541599989,10.7100000381,-21.4799995422,5.1500000954,0.1993615031,0.0124341492,105.1956863403,1.6892342567,0.5
321146,0.246299997,0.0338100009,9.6999998093,-19.2000007629,2.5599999428,0.1120103374,0.0178251658,74.8014068604,1.6027810574,0.5
323566,0.2490999997,0.0425000004,10.0100002289,-19.7199993134,1.4099999666,,,103.1668624878,1.4020617008,0.0
323593,0.2881000042,0.0688700005,11.1300001144,-22.4099998474,4.6999998093,0.2674869597,0.0053831702,251.0341339111,1.997232914,0.5
325467,0.2827000022,0.0852200016,10.9799995422,-22.0599994659,3.7000000477,0.2142317593,0.0078489836,214.3632354736,1.9383066893,0.5
345758,0.1500999928,0.0768100023,11.1999998093,-22.5,4.1900000572,0.0851231813,0.0070916018,248.3053741455,2.1768074036,0.0
345767,0.2171999961,0.077820003,11.0399999619,-22.2399997711,5.1100001335,0.1210886985,0.0092710396,251.0961914062,2.7212991714,0.5
345848,0.0766000003,0.075319998,10.9399995804,-21.7999992371,3.3399999142,0.1990258694,0.0109068835,173.3033294678,2.130685091,0.0
346623,0.2630000114,0.0709400028,10.5399999619,-20.9699993134,1.7000000477,0.1980265379,0.0147451917,172.2122802734,2.6311171055,0.5
346837,0.0035999999,0.0578599982,10.1300001144,-20.0200004578,1.1399999857,,,90.0844345093,1.967451334,0.0
346887,0.0471000001,0.0569700003,10.5500001907,-21.1200008392,2.1300001144,0.1197419614,0.0083901333,123.2977600098,1.2047331333,0.5
347471,0.2536999881,0.0550399981,10.8699998856,-21.7800006866,3.4300000668,0.2321357429,0.0047786664,196.6092529297,1.2361603975,0.5
370997,0.2732000053,0.0853800029,10.8999996185,-22.0,4.75,0.8492608666,0.0175090469,154.051574707,2.2586882114,0.5
371171,0.2284000069,0.0399000011,10.1499996185,-20.3899993896,1.5199999809,0.1533883065,0.009566552,95.2781906128,1.0886484385,0.0
371172,0.2196999937,0.0771400034,11.1599998474,-22.4400005341,4.0100002289,0.1202351302,0.0050174948,258.7940368652,1.9031916857,0.0
372123,0.0627000034,0.0711899996,11.4300003052,-22.8999996185,7.0599999428,0.1195032895,0.0049949312,268.2697143555,2.74776721,0.0
372133,0.2680999935,0.0710899979,10.5900001526,-21.0200004578,1.5199999809,0.2160636336,0.0106641455,193.2742919922,2.3248074055,0.5
372452,0.2479999959,0.0526399985,10.6499996185,-21.2199993134,3.9300000668,0.123649925,0.0061840438,133.6696166992,1.3241631985,0.5
373163,0.1463000029,0.0875900015,10.8199996948,-21.6399993896,4.3000001907,0.0832145959,0.0118346456,186.3572387695,2.7696197033,0.0
373168,0.1414999962,0.0877899975,11.1999998093,-22.5100002289,4.6500000954,0.0802246258,0.00678484,241.517364502,2.4538094997,0.0
